nb_reader,nb_writer,nb threads,Mesure i,time
1,1,4,4,0.06
1,1,4,5,0.06
2,1,4,1,0.06
2,1,4,2,0.06
2,1,4,3,0.07
2,1,4,4,0.06
2,1,4,5,0.06
2,2,4,1,0.04
2,2,4,2,0.04
2,2,4,3,0.04
2,2,4,4,0.04
2,2,4,5,0.04
3,2,4,1,0.04
3,2,4,2,0.04
3,2,4,3,0.03
3,2,4,4,0.03
3,2,4,5,0.04
3,3,4,1,0.03
3,3,4,2,0.03
3,3,4,3,0.03
3,3,4,4,0.03
3,3,4,5,0.03
4,3,4,1,0.03
4,3,4,2,0.03
4,3,4,3,0.03
4,3,4,4,0.03
4,3,4,5,0.03
4,4,4,1,0.03
4,4,4,2,0.03
4,4,4,3,0.03
4,4,4,4,0.03
4,4,4,5,0.03
5,4,4,1,0.03
5,4,4,2,0.03
5,4,4,3,0.03
5,4,4,4,0.03
5,4,4,5,0.03
5,5,4,1,0.03
5,5,4,2,0.03
5,5,4,3,0.03
5,5,4,4,0.03
5,5,4,5,0.03
6,5,4,1,0.03
6,5,4,2,0.03
6,5,4,3,0.03
6,5,4,4,0.03
6,5,4,5,0.03
6,6,4,1,0.03
6,6,4,2,0.03
6,6,4,3,0.03
6,6,4,4,0.03
6,6,4,5,0.03
7,6,4,1,0.03
7,6,4,2,0.03
7,6,4,3,0.03
7,6,4,4,0.03
7,6,4,5,0.03
7,7,4,1,0.03
7,7,4,2,0.03
7,7,4,3,0.03
7,7,4,4,0.03
7,7,4,5,0.03
8,7,4,1,0.03
8,7,4,2,0.04
8,7,4,3,0.03
8,7,4,4,0.03
8,7,4,5,0.03
8,8,4,1,0.03
8,8,4,2,0.03
8,8,4,3,0.03
8,8,4,4,0.03
8,8,4,5,0.03
9,8,4,1,0.04
9,8,4,2,0.03
9,8,4,3,0.03
9,8,4,4,0.04
9,8,4,5,0.03
9,9,4,1,0.03
9,9,4,2,0.03
9,9,4,3,0.03
9,9,4,4,0.03
9,9,4,5,0.03
10,9,4,1,0.03
10,9,4,2,0.03
10,9,4,3,0.03
10,9,4,4,0.03
10,9,4,5,0.03
10,10,4,1,0.03
10,10,4,2,0.03
10,10,4,3,0.03
10,10,4,4,0.03
10,10,4,5,0.03
11,10,4,1,0.03
11,10,4,2,0.03
11,10,4,3,0.03
11,10,4,4,0.03
11,10,4,5,0.03
11,11,4,1,0.03
11,11,4,2,0.03
11,11,4,3,0.03
11,11,4,4,0.03
11,11,4,5,0.03
12,11,4,1,0.03
12,11,4,2,0.03
12,11,4,3,0.03
12,11,4,4,0.04
12,11,4,5,0.03
12,12,4,1,0.03
12,12,4,2,0.03
12,12,4,3,0.03
12,12,4,4,0.03
12,12,4,5,0.03
13,12,4,1,0.03
13,12,4,2,0.03
13,12,4,3,0.03
13,12,4,4,0.03
13,12,4,5,0.03
13,13,4,1,0.03
13,13,4,2,0.03
13,13,4,3,0.03
13,13,4,4,0.03
13,13,4,5,0.04
14,13,4,1,0.04
14,13,4,2,0.03
14,13,4,3,0.03
14,13,4,4,0.03
14,13,4,5,0.03
14,14,4,1,0.03
14,14,4,2,0.03
14,14,4,3,0.03
14,14,4,4,0.03
14,14,4,5,0.03
15,14,4,1,0.03
15,14,4,2,0.03
15,14,4,3,0.03
15,14,4,4,0.03
15,14,4,5,0.03
15,15,4,1,0.04
15,15,4,2,0.03
15,15,4,3,0.03
15,15,4,4,0.03
15,15,4,5,0.03
16,15,4,1,0.03
16,15,4,2,0.03
16,15,4,3,0.03
16,15,4,4,0.03
16,15,4,5,0.04
16,16,4,1,0.03
16,16,4,2,0.03
16,16,4,3,0.03
16,16,4,4,0.03
16,16,4,5,0.03
17,16,4,1,0.03
17,16,4,2,0.03
17,16,4,3,0.03
17,16,4,4,0.03
17,16,4,5,0.03
17,17,4,1,0.03
17,17,4,2,0.03
17,17,4,3,0.03
17,17,4,4,0.03
17,17,4,5,0.03
18,17,4,1,0.03
18,17,4,2,0.03
18,17,4,3,0.03
18,17,4,4,0.03
18,17,4,5,0.03
18,18,4,1,0.03
18,18,4,2,0.03
18,18,4,3,0.03
18,18,4,4,0.03
18,18,4,5,0.03
19,18,4,1,0.03
19,18,4,2,0.03
19,18,4,3,0.03
19,18,4,4,0.03
19,18,4,5,0.03
19,19,4,1,0.03
19,19,4,2,0.03
19,19,4,3,0.03
19,19,4,4,0.03
19,19,4,5,0.03
20,19,4,1,0.03
20,19,4,2,0.03
20,19,4,3,0.03
20,19,4,4,0.03
20,19,4,5,0.03
20,20,4,1,0.03
20,20,4,2,0.03
20,20,4,3,0.03
20,20,4,4,0.04
20,20,4,5,0.03
21,20,4,1,0.04
21,20,4,2,0.03
21,20,4,3,0.03
21,20,4,4,0.03
21,20,4,5,0.04
21,21,4,1,0.03
21,21,4,2,0.03
21,21,4,3,0.03
21,21,4,4,0.03
21,21,4,5,0.03
22,21,4,1,0.03
22,21,4,2,0.03
22,21,4,3,0.03
22,21,4,4,0.03
22,21,4,5,0.03
22,22,4,1,0.03
22,22,4,2,0.03
22,22,4,3,0.03
22,22,4,4,0.03
22,22,4,5,0.03
23,22,4,1,0.03
23,22,4,2,0.04
23,22,4,3,0.03
23,22,4,4,0.03
23,22,4,5,0.03
23,23,4,1,0.03
23,23,4,2,0.03
23,23,4,3,0.03
23,23,4,4,0.03
23,23,4,5,0.03
24,23,4,1,0.03
24,23,4,2,0.03
24,23,4,3,0.03
24,23,4,4,0.03
24,23,4,5,0.03
24,24,4,1,0.03
24,24,4,2,0.03
24,24,4,3,0.03
24,24,4,4,0.03
24,24,4,5,0.04
25,24,4,1,0.03
25,24,4,2,0.03
25,24,4,3,0.03
25,24,4,4,0.03
25,24,4,5,0.03
25,25,4,1,0.04
25,25,4,2,0.03
25,25,4,3,0.03
25,25,4,4,0.03
25,25,4,5,0.03
26,25,4,1,0.03
26,25,4,2,0.03
26,25,4,3,0.03
26,25,4,4,0.03
26,25,4,5,0.03
26,26,4,1,0.03
26,26,4,2,0.03
26,26,4,3,0.03
26,26,4,4,0.04
26,26,4,5,0.03
27,26,4,1,0.03
27,26,4,2,0.03
27,26,4,3,0.03
27,26,4,4,0.03
27,26,4,5,0.04
27,27,4,1,0.03
27,27,4,2,0.03
27,27,4,3,0.09
27,27,4,4,0.04
27,27,4,5,0.03
28,27,4,1,0.04
28,27,4,2,0.04
28,27,4,3,0.03
28,27,4,4,0.03
28,27,4,5,0.03
28,28,4,1,0.03
28,28,4,2,0.03
28,28,4,3,0.03
28,28,4,4,0.03
28,28,4,5,0.04
29,28,4,1,0.03
29,28,4,2,0.04
29,28,4,3,0.03
29,28,4,4,0.03
29,28,4,5,0.03
29,29,4,1,0.03
29,29,4,2,0.03
29,29,4,3,0.03
29,29,4,4,0.03
29,29,4,5,0.03
30,29,4,1,0.04
30,29,4,2,0.03
30,29,4,3,0.03
30,29,4,4,0.04
30,29,4,5,0.03
30,30,4,1,0.03
30,30,4,2,0.03
30,30,4,3,0.03
30,30,4,4,0.03
30,30,4,5,0.03
31,30,4,1,0.03
31,30,4,2,0.03
31,30,4,3,0.03
31,30,4,4,0.03
31,30,4,5,0.03
31,31,4,1,0.03
31,31,4,2,0.03
31,31,4,3,0.03
31,31,4,4,0.04
31,31,4,5,0.03
32,31,4,1,0.03
32,31,4,2,0.04
32,31,4,3,0.03
32,31,4,4,0.03
32,31,4,5,0.03
32,32,4,1,0.03
32,32,4,2,0.03
32,32,4,3,0.04
32,32,4,4,0.03
32,32,4,5,0.03
1,1,8,1,0.06
1,1,8,2,0.06
1,1,8,3,0.06
1,1,8,4,0.06
1,1,8,5,0.06
2,1,8,1,0.06
2,1,8,2,0.06
2,1,8,3,0.07
2,1,8,4,0.06
2,1,8,5,0.06
2,2,8,1,0.05
2,2,8,2,0.04
2,2,8,3,0.04
2,2,8,4,0.04
2,2,8,5,0.04
3,2,8,1,0.04
3,2,8,2,0.04
3,2,8,3,0.04
3,2,8,4,0.04
3,2,8,5,0.03
3,3,8,1,0.03
3,3,8,2,0.03
3,3,8,3,0.03
3,3,8,4,0.03
3,3,8,5,0.03
4,3,8,1,0.03
4,3,8,2,0.03
4,3,8,3,0.03
4,3,8,4,0.03
4,3,8,5,0.03
